exp,bloc,trade_value_extra,trade_value_intra,trade_perc_extra,trade_perc_intra,perc_diff
AGO,AfCFTA,51025132883,516612791,98.9976808425008,1.00231915749917,97.9953616850017
ALB,CEFTA,4151546543,294238867,93.3816223711976,6.61837762880238,86.7632447423953
ARE,GCC,372930488757,39494808876,90.4237666547932,9.57623334520686,80.8475333095863
ARG,Mercosur,71004354186,16402333416,81.2344640141418,18.7655359858582,62.4689280282835
AUS,RCEP,109614270009,318532387643,25.6020380049528,74.3979619950472,-48.7959239900945
AUT,EU,71132918981,139321670705,33.7996520233324,66.2003479766676,-32.4006959533352
BDI,AfCFTA,129126011,78560137,62.1736270056875,37.8263729943126,24.3472540113749
BEL,EU,155058394934,343051537922,31.1293521181049,68.8706478818951,-37.7412957637903
BEN,AfCFTA,1479893031,202245599,87.9768768522961,12.0231231477039,75.9537537045921
BFA,AfCFTA,7731624816,650978861,92.2341686893042,7.76583131069576,84.4683373786085
BGR,EU,18964006063,36930194627,33.9283965579507,66.0716034420493,-32.1432068840987
BHR,GCC,14599178178,6995851389,67.6043444752187,32.3956555247813,35.2086889504373
BIH,CEFTA,8471901099,1801340226,82.465707082959,17.534292917041,64.9314141659181
BOL,Andean,11534778455,1968550813,85.4217373069244,14.5782626930756,70.8434746138488
BRA,Mercosur,322169235436,21679430678,93.695066226951,6.30493377304898,87.390132453902
BRB,CARICOM,171293453,40020121,81.061263485137,18.938736514863,62.122526970274
BRN,RCEP,541332284,13424229568,3.87619409613997,96.12380590386,-92.2476118077201
BWA,AfCFTA,6868888410,1052647976,86.711568000112,13.2884319998881,73.4231360002239
CAF,AfCFTA,169249553,853222,99.4984079477833,0.501592052216667,98.9968158955667
CAN,USMCA,146853199226,444380408495,24.8384390380087,75.1615609619913,-50.3231219239826
CHE,EFTA,378257617487,946556679,99.750383370362,0.249616629638058,99.5007667407239
CHN,RCEP,2724359451882,933536578082,74.4788651608781,25.5211348391219,48.9577303217562
CIV,AfCFTA,12476384251,1450268297,89.5863827147158,10.4136172852842,79.1727654294316
CMR,AfCFTA,7199132381,41644105,99.4248668622693,0.575133137730721,98.8497337245386
COD,AfCFTA,23167404750,1523964776,93.8279455321615,6.17205446783851,87.655891064323
COG,AfCFTA,13314497142,151836601,98.8724726128303,1.1275273871697,97.7449452256606
COL,Andean,59241885335,1293067183,97.8639329359092,2.1360670640908,95.7278658718184
COM,AfCFTA,66708587,2243648,96.7460837201289,3.25391627987113,93.4921674402577
CPV,AfCFTA,89350156,4890723,94.8104017578189,5.18959824218108,89.6208035156379
CYP,EU,3444773942,1742051592,66.4139157837346,33.5860842162655,32.8278315674691
CZE,EU,50198240867,182294502310,21.5913151443111,78.4086848556889,-56.8173697113777
DEU,EU,725919295075,878421918555,45.2471886222088,54.7528113777912,-9.50562275558239
DJI,AfCFTA,209176947,378953824,35.5664007588544,64.4335992411456,-28.8671984822913
DNK,EU,55340838608,66374357310,45.4674851324919,54.5325148675081,-9.06502973501627
DZA,AfCFTA,61614535051,490278691,99.2105624967547,0.789437503245318,98.4211249935094
EGY,AfCFTA,53211084070,7242360738,88.0199370590018,11.9800629409982,76.0398741180037
ERI,AfCFTA,836454684,17505125,97.9501230836029,2.04987691639713,95.9002461672057
ESP,EU,157676952771,240725952709,39.577259754426,60.422740245574,-20.8454804911479
EST,EU,8738732365,15861505129,35.5229593500119,64.4770406499881,-28.9540812999763
ETH,AfCFTA,3920904875,503939382,88.6111385456611,11.3888614543389,77.2222770913223
FIN,EU,43618661641,49493946235,46.8450649552077,53.1549350447923,-6.30987008958469
FRA,EU,279993934731,338299478680,45.2849615826133,54.7150384173867,-9.43007683477333
GAB,AfCFTA,8804729739,68175600,99.2316428791329,0.768357120867059,98.4632857582659
GHA,AfCFTA,19683358663,684945299,96.6372001307627,3.36279986923734,93.2744002615253
GIN,AfCFTA,11081632785,39331255,99.646332324621,0.353667675378977,99.2926646492421
GMB,AfCFTA,190250907,30890518,86.0313290465592,13.9686709534408,72.0626580931185
GNB,AfCFTA,210707674,304406,99.8557400126097,0.144259987390295,99.7114800252194
GNQ,AfCFTA,7122482758,23586511,99.6699372744354,0.33006272556466,99.3398745488707
GRC,EU,27999961996,28638405264,49.4363862352624,50.5636137647376,-1.12722752947522
HRV,EU,7678686917,17984132003,29.9214476045565,70.0785523954436,-40.1571047908871
HUN,EU,40464292062,107914830878,27.270879663012,72.729120336988,-45.458240673976
IDN,RCEP,144882542253,183286507854,44.1487526644456,55.8512473355544,-11.7024946711088
IRL,EU,148230411996,86789463156,63.0714367881148,36.9285632118852,26.1428735762296
ISL,EFTA,7279108098,530192347,93.2107574713755,6.78924252862447,86.4215149427511
ITA,EU,298883616963,340258121500,46.7632762776144,53.2367237223857,-6.47344744477132
JAM,CARICOM,1292270221,51331466,96.1795622544496,3.8204377455504,92.3591245088992
JPN,RCEP,431485004417,326694767851,56.9106457596813,43.0893542403187,13.8212915193626
KEN,AfCFTA,4830802139,3130304949,60.6800296190162,39.3199703809838,21.3600592380325
KHM,RCEP,22761888499,7924757321,74.1752247297258,25.8247752702742,48.3504494594516
KOR,RCEP,372105118122,337355815071,52.4489934135349,47.5510065864651,4.89798682706986
KWT,GCC,89345313169,6278377882,93.4342861972861,6.5657138027139,86.8685723945722
LAO,RCEP,1211429326,8541898433,12.4206768800745,87.5793231199255,-75.158646239851
LBR,AfCFTA,1830354625,84569028,95.5836866985527,4.41631330144732,91.1673733971053
LBY,AfCFTA,39473789952,209196009,99.472831985966,0.527168014034013,98.945663971932
LSO,AfCFTA,820427584,346230862,70.3228598578199,29.6771401421801,40.6457197156399
LTU,EU,19424350721,28979402239,40.1298443470942,59.8701556529058,-19.7403113058116
LUX,EU,5263569962,15236917665,25.6753403029675,74.3246596970325,-48.649319394065
LVA,EU,8350282930,15343350115,35.2427291928628,64.7572708071372,-29.5145416142744
MAR,AfCFTA,45496402280,3995256142,91.92741510512,8.07258489488005,83.8548302102399
MDA,CEFTA,3795026830,40881533,98.9342411462607,1.06575885373933,97.8684822925213
MDG,AfCFTA,4172188086,334757240,92.5724140013675,7.42758599863255,85.1448280027349
MEX,USMCA,117386634941,469343309949,20.0069275419388,79.9930724580612,-59.9861449161223
MKD,CEFTA,8295438704,1083842549,88.4442899219668,11.5557100780332,76.8885798439336
MLI,AfCFTA,7511764514,35774677,99.5260087282136,0.473991271786428,99.0520174564271
MLT,EU,2869814607,2312452642,55.3775880152413,44.6224119847587,10.7551760304826
MMR,RCEP,9934823627,16143083510,38.0967060539311,61.9032939460689,-23.8065878921379
MNE,CEFTA,1851122914,290062087,86.4531982586964,13.5468017413036,72.9063965173928
MOZ,AfCFTA,9219086755,1293799159,87.6932065126185,12.3067934873815,75.386413025237
MRT,AfCFTA,3980826666,121282609,97.0434086254321,2.9565913745679,94.0868172508642
MUS,AfCFTA,1581881881,862168053,64.723795491815,35.276204508185,29.44759098363
MWI,AfCFTA,704041305,157055359,81.7610071475088,18.2389928524912,63.5220142950177
MYS,RCEP,184172040201,232903752341,44.1579308831389,55.8420691168611,-11.6841382337223
NAM,AfCFTA,3025967909,3110457254,49.3115752025346,50.6884247974654,-1.37684959493085
NER,AfCFTA,3035053234,236789983,92.7627955468748,7.23720445312524,85.5255910937495
NGA,AfCFTA,65561812252,7308745023,89.9702358588831,10.0297641411169,79.9404717177662
NLD,EU,196790591961,452178832671,30.3235536978635,69.6764463021366,-39.3528926042731
NOR,EFTA,282016619387,1752075275,99.3825692164222,0.617430783577771,98.7651384328445
NZL,RCEP,18650494519,28646358539,39.4328444984045,60.5671555015955,-21.1343110031911
OMN,GCC,77290587239,8503093060,90.0889051147289,9.91109488527107,80.1778102294579
PER,Andean,57253837149,1857955748,96.8568780323794,3.1431219676206,93.7137560647588
PHL,RCEP,60765924691,58893274937,50.7824930134172,49.2175069865828,1.56498602683433
POL,EU,90709431556,259388692322,25.9097165535254,74.0902834464746,-48.1805668929492
PRT,EU,28510644487,53859644680,34.6127769798121,65.387223020188,-30.7744460403759
PRY,Mercosur,4456559028,5791327306,43.4875922970986,56.5124077029014,-13.0248154058029
QAT,GCC,126004103223,5837870788,95.5720696448971,4.42793035510294,91.1441392897941
ROU,EU,35672627498,69606701017,33.8837908649061,66.116209135094,-32.2324182701879
RWA,AfCFTA,970376641,72649371,93.0347498370923,6.96525016290773,86.0694996741845
SAU,GCC,370238965216,23498971098,94.0318244876308,5.9681755123692,88.0636489752616
SDN,AfCFTA,5407217028,541107620,90.9031928816808,9.09680711831921,81.8063857633616
SEN,AfCFTA,4464429441,2279405692,66.200156927828,33.799843072172,32.4003138556561
SGP,RCEP,192155128286,171557322171,52.8316058591229,47.1683941408771,5.66321171824586
SLE,AfCFTA,1298634284,24048196,98.181861757177,1.81813824282302,96.363723514354
SOM,AfCFTA,694150872,8339437,98.8128751538407,1.18712484615927,97.6257503076815
SRB,CEFTA,26304339599,4576120666,85.1811772663681,14.8188227336319,70.3623545327361
SSD,AfCFTA,542791542,18876743,96.6391652325536,3.36083476744641,93.2783304651072
SVK,EU,28695794779,83841048882,25.499022227282,74.500977772718,-49.001955545436
SVN,EU,18728275835,37239011811,33.4628970291694,66.5371029708307,-33.0742059416613
SWE,EU,89830600118,107650784125,45.4881357361076,54.5118642638924,-9.02372852778484
SWZ,AfCFTA,257321056,1925168804,11.7902520747565,88.2097479252435,-76.419495850487
SYC,AfCFTA,571156825,83285396,87.2738351335679,12.7261648664321,74.5476702671358
TCD,AfCFTA,4259956934,1896280,99.9555057411698,0.0444942588301916,99.9110114823396
TGO,AfCFTA,2851034387,793343922,78.2310217344673,21.7689782655328,56.4620434689345
THA,RCEP,166990150937,165655983626,50.2005385261357,49.7994614738643,0.40107705227139
TTO,CARICOM,16668804099,441809356,97.4179221734981,2.58207782650187,94.8358443469963
TUN,AfCFTA,18706709288,625377358,96.7650809276225,3.23491907237751,93.530161855245
TZA,AfCFTA,7226394836,2807042958,72.0231189385695,27.9768810614305,44.0462378771389
UGA,AfCFTA,3498529275,2220686015,61.1714911504931,38.8285088495069,22.3429823009863
URY,Mercosur,9738894661,2754389093,77.9530414322166,22.0469585677834,55.9060828644331
USA,USMCA,1374920177924,606673567042,69.3845638853483,30.6154361146517,38.7691277706966
VNM,RCEP,269095470184,160261671600,62.6740407917509,37.3259592082491,25.3480815835018
ZAF,AfCFTA,128533546243,30536262637,80.8032317056242,19.1967682943758,61.6064634112484
ZMB,AfCFTA,11156967895,3269737213,77.3355233331356,22.6644766668644,54.6710466662711
ZWE,AfCFTA,4730929583,606624230,88.6347894325202,11.3652105674799,77.2695788650403
